date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:13	88795/88795	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Nov%202023%2015:52:12%20GMT	https://tweem.com/	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/index.html	(from )
10:52:13	240/240	---M--	200	added ('OK')	text/plain	date:Sat,%2013%20May%202023%2021:27:26%20GMT	https://tweem.com/robots.txt		(from )
10:52:14	16317/16317	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2007:27:16%20GMT	https://tweem.com/dam/worktime/favicon.png	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/dam/worktime/favicon.png	(from https://tweem.com/)
10:52:14	31000/31000	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2021:27:26%20GMT	https://tweem.com/.resources/vbote-worktime-module/webresources/css/font-awesome.min.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/.resources/vbote-worktime-module/webresources/css/font-awesome.min.css	(from https://tweem.com/)
10:52:14	80823/80823	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-41a2%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/fontawesome.min.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/fontawesome.min.css	(from https://tweem.com/)
10:52:15	18855/18855	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-1216%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/brands.min.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/brands.min.css	(from https://tweem.com/)
10:52:15	572/572	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-14f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/solid.min.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/solid.min.css	(from https://tweem.com/)
10:52:16	25252/25252	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2021:27:26%20GMT	https://tweem.com/.resources/vbote-worktime-module/webresources/css/elegant-font-icons.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/.resources/vbote-worktime-module/webresources/css/elegant-font-icons.css	(from https://tweem.com/)
10:52:16	7067/7067	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2021:27:26%20GMT	https://tweem.com/.resources/vbote-worktime-module/webresources/css/elegant-line-icons.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/.resources/vbote-worktime-module/webresources/css/elegant-line-icons.css	(from https://tweem.com/)
10:52:16	113502/113502	---MCZ	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2021:27:26%20GMT	https://tweem.com/.resources/vbote-worktime-module/webresources/css/bootstrap.min.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/.resources/vbote-worktime-module/webresources/css/bootstrap.min.css	(from https://tweem.com/)
10:52:16	75689/75689	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2021:27:26%20GMT	https://tweem.com/.resources/vbote-worktime-module/webresources/css/animate.min.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/.resources/vbote-worktime-module/webresources/css/animate.min.css	(from https://tweem.com/)
10:52:17	11453/11453	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2021:27:26%20GMT	https://tweem.com/.resources/vbote-worktime-module/webresources/css/venobox.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/.resources/vbote-worktime-module/webresources/css/venobox.css	(from https://tweem.com/)
10:52:17	4614/4614	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2021:27:26%20GMT	https://tweem.com/.resources/vbote-worktime-module/webresources/css/owl.carousel.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/.resources/vbote-worktime-module/webresources/css/owl.carousel.css	(from https://tweem.com/)
10:52:17	79655/79655	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Nov%202023%2010:42:06%20GMT	https://tweem.com/.resources/vbote-worktime-module/webresources/css/main.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/.resources/vbote-worktime-module/webresources/css/main.css	(from https://tweem.com/)
10:52:17	4539/4539	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Aug%202021%2010:38:01%20GMT	https://tweem.com/.resources/vbote-worktime-module/webresources/css/responsive.css	C:/Users/Tyron/Desktop/Pagina%20Clonada/clon/tweem.com/.resources/vbote-worktime-module/webresources/css/responsive.css	(from https://tweem.com/)
